,Actb,Gadph,Metabolic process,#Detected Genes,Mapping rate
ola_mES_2i_2_48.counts,0.002440293,0.000335952,0.033195168,10853,0.820315562
ola_mES_2i_2_49.counts,0.003012996,0.000391744,0.028291908,11354,0.796434626
ola_mES_2i_2_5.counts,0.003198072,0.000222444,0.030666811,10423,0.784085982
ola_mES_2i_2_50.counts,0.00221254,0.000208296,0.025633355,10813,0.804287191
ola_mES_2i_2_51.counts,0.002706989,0.000313543,0.030912054,10965,0.79642955
ola_mES_2i_2_52.counts,0.004775257,0.000251848,0.030356989,10672,0.819519978
ola_mES_2i_2_53.counts,0.002972744,0.000311351,0.027455013,11797,0.807006642
ola_mES_2i_2_54.counts,0.004361446,0.00051295,0.030756337,10382,0.810657202
ola_mES_2i_2_55.counts,0.005194313,0.00051646,0.026252591,12363,0.765725912
ola_mES_2i_2_56.counts,0.003003694,0.000361062,0.030798371,11359,0.804981722
ola_mES_2i_2_57.counts,0.004530841,0.000380009,0.026870936,11877,0.781620694
ola_mES_2i_2_58.counts,0.003726583,0.000348971,0.027884117,12129,0.806935216
ola_mES_2i_2_59.counts,0.002921637,0.000331192,0.033835971,11815,0.807982063
ola_mES_2i_2_6.counts,0.005446601,0.000283409,0.026279657,11499,0.759888304
ola_mES_2i_2_60.counts,0.003281279,0.000335599,0.032393674,12324,0.807672666
ola_mES_2i_2_61.counts,0.00420394,0.000321279,0.026244617,11469,0.803091876
ola_mES_2i_2_62.counts,0.00552175,0.0003387,0.026901606,11490,0.761969955
ola_mES_2i_2_63.counts,0.003598156,0.000293721,0.024883263,11268,0.802310462
ola_mES_2i_2_64.counts,0.003925666,0.000251663,0.026826579,10988,0.796295171
ola_mES_2i_2_65.counts,7.30E-05,0,0.000334133,4456,0.423181132
ola_mES_2i_2_66.counts,0.003202026,0.000283351,0.027971358,10876,0.804665636
ola_mES_2i_2_67.counts,0.003438666,0.000302846,0.030933395,12000,0.800506865
ola_mES_2i_2_68.counts,0.004137639,0.000236444,0.028503612,11585,0.799534892
ola_mES_2i_2_69.counts,0.00432496,0.000310177,0.03219375,11912,0.785716849
ola_mES_2i_2_7.counts,0.006565023,0.000463762,0.029033205,11843,0.78765248
ola_mES_2i_2_70.counts,0.006302376,0,0.032135189,3380,0.361655773
ola_mES_2i_2_71.counts,0.00289869,0.00028143,0.027771907,10969,0.79712044
ola_mES_2i_2_72.counts,0.003817846,0.000331041,0.026106711,12313,0.793027531
ola_mES_2i_2_73.counts,0.004481414,0.000229279,0.024574124,12142,0.768177291
ola_mES_2i_2_74.counts,0.004144294,0.000215383,0.032520405,10545,0.788192125
ola_mES_2i_2_75.counts,0.005858639,0.000370926,0.027228131,12012,0.78056607
ola_mES_2i_2_76.counts,0.003766799,0.000198537,0.027329845,11128,0.806591352
ola_mES_2i_2_77.counts,0.038612314,2.36E-05,0.055518458,4259,0.071556694
ola_mES_2i_2_78.counts,0.005016505,0.000320804,0.026129504,11810,0.797714249
ola_mES_2i_2_79.counts,0.004166459,0.00021727,0.032145448,11472,0.815968578
ola_mES_2i_2_8.counts,0.004675652,0.00025395,0.027193375,12255,0.803693508
ola_mES_2i_2_80.counts,0.003117189,0.000300185,0.023831368,11962,0.757041338
ola_mES_2i_2_81.counts,0.004657201,0.000334052,0.030449471,11534,0.785377128
ola_mES_2i_2_82.counts,0.044615513,0,0.005657898,4411,0.212618253
ola_mES_2i_2_83.counts,0.006657531,9.26E-06,0.027796811,6043,0.097898836
ola_mES_2i_2_84.counts,0.001215346,1.41E-05,0.001952062,4557,0.196815699
ola_mES_2i_2_85.counts,0.006303921,0.000304612,0.030185457,11504,0.792034604
ola_mES_2i_2_86.counts,0.00450301,0.000228171,0.035814629,10435,0.806191802
ola_mES_2i_2_87.counts,0.005406066,0.000223136,0.027767347,11025,0.807657607
ola_mES_2i_2_88.counts,0.05369543,1.35E-05,0.010308446,3362,0.127150685
ola_mES_2i_2_89.counts,0.013990378,0,0.00187223,3586,0.121763872
ola_mES_2i_2_9.counts,0.005018213,0.00028859,0.029103901,12337,0.77582616
ola_mES_2i_2_90.counts,0.003000942,0.00026546,0.032375873,9800,0.824487336
ola_mES_2i_2_91.counts,0.005092759,0.000359464,0.029145156,11150,0.806435502
ola_mES_2i_2_92.counts,0.00138913,5.70E-06,0.017817975,8058,0.569210746
ola_mES_2i_2_93.counts,0.003290522,0.000263823,0.025750639,11675,0.799544949
ola_mES_2i_2_94.counts,0.003997725,0.000292192,0.032375919,10533,0.807638817
ola_mES_2i_2_95.counts,0.002431497,0.000303,0.02985915,8805,0.824114374
ola_mES_2i_2_96.counts,0.015727895,1.92E-05,0.031244805,3913,0.189537681
ola_mES_2i_3_1.counts,0.007931254,0.000105322,0.018120607,9440,0.61223563
