,Mapped,Detected genes,Metabolic Process,Actb,Gadph,Quality
ola_mES_2i_2_79.counts,0.9262165122620684,0.7855800845467356,0.37921486575263885,0.07633855832344784,0.34857342711194395,1
ola_mES_2i_2_8.counts,0.9114161556597884,0.84687646782527,0.32018242091682275,0.08583445397756125,0.4074203609107478,1
ola_mES_2i_2_80.counts,0.8551664762469472,0.8239392516048223,0.28010476197174516,0.05677081400451266,0.48159669635752245,1
ola_mES_2i_2_81.counts,0.8893316416274556,0.7904336934397996,0.3589975408676235,0.08549036289478114,0.5359306414764997,1
ola_mES_2i_2_82.counts,0.1987420484829234,0.23281665883826522,0.06346329379258912,0.8306694232245722,0.0,0
ola_mES_2i_2_83.counts,0.06042199973325027,0.36057617034601536,0.32737583312660756,0.12279434184538073,0.014856123418127679,0
ola_mES_2i_2_84.counts,0.1796885168593331,0.244246124941287,0.01928693386401352,0.02130351048991998,0.022621095053520546,0
ola_mES_2i_2_85.counts,0.8973587256987579,0.7880851730076718,0.3558502948777354,0.11619989992993601,0.48869907847113486,1
ola_mES_2i_2_86.counts,0.9144284107505811,0.7043995616095193,0.4229542704373283,0.08261486844217987,0.3660622609543856,1
ola_mES_2i_2_87.counts,0.9161957682246651,0.7505871301080319,0.3270246000259157,0.0994558806827665,0.35798444438740146,1
ola_mES_2i_2_88.counts,0.09569168018933277,0.1506967277281979,0.11890133322906646,1.0,0.021658495264009037,0
ola_mES_2i_2_89.counts,0.08919666603871713,0.16823234695475184,0.01833527621758285,0.25954396322583667,0.0,0
ola_mES_2i_2_9.counts,0.877815802426786,0.8532957570064192,0.3429573316869977,0.09222284405984583,0.46299445542521245,0
ola_mES_2i_2_90.counts,0.9364877902432548,0.6546892124628151,0.381961705530908,0.05460293388419733,0.42588623353954363,1
ola_mES_2i_2_91.counts,0.9147222458899307,0.7603726319085643,0.34344912240003883,0.09361304588397057,0.5766999512282774,1
ola_mES_2i_2_92.counts,0.6286944689657391,0.5183184593705965,0.20842058232645674,0.024544393083267578,0.00914469800035937,0
ola_mES_2i_2_93.counts,0.906414135094073,0.8014717394708001,0.3029839197370853,0.06000328593836571,0.4232599404471597,1
ola_mES_2i_2_94.counts,0.9161731126552423,0.7120713950211367,0.38196225388559957,0.07319185273774424,0.4687732628282465,1
ola_mES_2i_2_95.counts,0.9360381007018431,0.5767966181305777,0.35196046934870123,0.043983403959872755,0.4861128937033139,1
ola_mES_2i_2_96.counts,0.17091322989495636,0.19383121966494443,0.3684785219599961,0.29194676556060584,0.030803193264368405,0
ola_mES_2i_3_1.counts,0.6805706396084912,0.626506967277282,0.21202818400065515,0.14654789050029995,0.16897155838488592,0
ola_mES_2i_3_10.counts,0.7651620384802784,0.7311726945357758,0.2694294524404227,0.18285349992531108,0.19074556562363632,1
ola_mES_2i_3_11.counts,0.8310042584054557,0.6958666040394551,0.36436573064507605,0.11761139881202698,0.271234951356624,1
ola_mES_2i_3_12.counts,0.8664355927999988,0.7469077814310318,0.3177995336839386,0.2093869487078448,0.205391521421054,1
ola_mES_2i_3_13.counts,0.855335205378669,0.7775168310630969,0.3272480426419681,0.22202664071732667,0.26310258746823423,1
ola_mES_2i_3_14.counts,0.6914294323298746,0.6429466103021763,0.19913420754581357,0.17773980030371617,0.021818928562260954,0
ola_mES_2i_3_15.counts,0.8773234820728093,0.7696101456082668,0.33439417714073794,0.15383538194744248,0.19343121903637342,1
ola_mES_2i_3_16.counts,0.8379300635666084,0.725771097541882,0.35506818611778107,0.1171524677266584,0.3030087660754165,1
ola_mES_2i_3_17.counts,0.792500280192363,0.687959918584625,0.3362303547461469,0.15110199220736542,0.25587667171496775,1
ola_mES_2i_3_18.counts,0.8010974466343722,0.6511664318146234,0.35031697881360124,0.18061880075184952,0.30268469081294763,1
ola_mES_2i_3_19.counts,0.8643840857740678,0.8020197275716299,0.35978730275175114,0.12577134232820109,0.2938624637420746,1
ola_mES_2i_3_2.counts,0.7954440440845887,0.7252231094410522,0.33725439521186223,0.15407701590547088,0.2777902559231974,1
ola_mES_2i_3_20.counts,0.8648194476874088,0.7707061218099264,0.3416045287421899,0.1032895749036364,0.1863400672536386,1
ola_mES_2i_3_21.counts,0.7158529922324627,0.6708940034444967,0.228748805987461,0.14198107023497442,0.1613204943912519,0
